Handle,SKU,Name,Category,Description,Sold by weight,Option 1 name,Option 1 value,Option 2 name,Option 2 value,Option 3 name,Option 3 value,Cost,Barcode,SKU of included item,Quantity of included item,Track stock,Use production,Supplier,Purchase cost,Available for sale [Lucky Store],Price [Lucky Store],In stock [Lucky Store],Low stock [Lucky Store],Optimal stock [Lucky Store]
junior-horlicks-stage-i-500g,BEV-JUNI-HORL-500G-1,Junior Horlicks Stage I 500g,Beverages,Powdered Drink 500g,N,,,,,,,514.02,,,,Y,,,0.00,Y,590.00,3.000,5.000,
junior-horlicks-stage-ii-500g,BEV-JUNI-HORL-500G,Junior Horlicks Stage II 500g,Beverages,Powdered Drink 500g,N,,,,,,,514.02,,,,Y,,,0.00,Y,590.00,3.000,5.000,
katari-atob-25kg-premium,RIC-KATA-ATOB-25KG-1,Katari Atob 25KG (Premium),Rice & Grain,25KG Bag,N,,,,,,,80.80,,,,Y,,,0.00,Y,89.00,50.000,5.000,
katari-atob-25kg-rahman,RIC-KATA-ATOB-25KG,Katari Atob 25KG (Rahman),Rice & Grain,25KG Bag,N,,,,,,,2175.00,,,,Y,,,0.00,Y,2250.00,8.000,5.000,
katari-atob-50kg-rahman,RIC-KATA-ATOB-50KG,Katari Atob 50KG (Rahman),Rice & Grain,50KG Bag,N,,,,,,,4330.00,,,,Y,,,0.00,Y,4550.00,2.000,5.000,
katari-c-25kg-nobanno,RIC-KATA-CXXX-25KG,Katari C 25KG (Nobanno),Rice & Grain,25KG Bag,N,,,,,,,2070.00,,,,Y,,,0.00,Y,2175.00,4.000,5.000,
katari-c-50kg-nobanno,RIC-KATA-CXXX-50KG,Katari C 50KG (Nobanno),Rice & Grain,50KG Bag,N,,,,,,,4120.00,,,,Y,,,0.00,Y,4350.00,1.000,5.000,
kazi-toast-250g,BIS-KAZI-TOAS-250G,Kazi Toast 250g,Biscuits & Cookies,,N,,,,,,,50.00,,,,Y,,,0.00,Y,60.00,6.000,5.000,
kellogs-almond-corn-flakes-300g,CER-KELL-ALMO-300G,Kellogs Almond Corn Flakes 300g,Cereals,,N,,,,,,,530.00,,,,Y,,,0.00,Y,560.00,2.000,5.000,
kellogs-chocos-127g,CER-KELL-CHOC-127G,Kellogs Chocos 127g,Cereals,,N,,,,,,,160.00,,,,Y,,,0.00,Y,170.00,4.000,5.000,
